migration_name,matched_stock_item,score
"Lab Gruppen PLM+SERIES. PLM 12K44","Lab Gruppen PLM 12K44","0.90"
"lab gruppen PLM 10000Q","LAB Gruppen PLM 10000Q (2)","1.00"
"Crown-Macro-Tech1200 2-Channel Power Amplifier","Crown-Macro-Tech1200","0.90"
"Crown MA5002VZ Macrotech Power Amp 1300W","Crown MA5002VZ","0.90"
"Crown Macro-Tech5000i Two-channel, 2500W @ 4Ω Power Amplifier","Crown Macro-Tech5000i","0.90"
"AMCRON DC-300A Series ll","AMCRON DC-300A Series ll","1.00"
"SVT CLASSIC","Ampeg Classic Series SVT-810E Bass Enclosure","0.90"
"Marshall 1960B","Marshall 1960B","1.00"
"Bass man410 + หัว","Fender Rumble Bass man410","0.88"
"Tone-Master","Fender Tone-Master Head","0.90"
"ACOUSTIC SFX II","Fender Acoustic SFX II","0.90"
"GK GALLIEN 410RBH 115RBH","Gallien Krueger 115RBH","0.88"
"KC 600","Roland KC 600","0.90"
"KC550","Roland KC550","0.88"
"Shure SM58 (ใหม่)","Shure SM58","1.00"
"Shure SM58 (เก่า)","Shure SM58","1.00"
"Shure SM58 switch","Shure SM58","0.90"
"Shure Beta87","Shure Beta87","1.00"
"Shure SM57","Shure SM57","1.00"
